STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,PRODUCT_CATEGORIES,Product categories,UNIT_MEASURE,Unit of measure,MEASURE,Measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,CHE,Switzerland,A,Annual,EE_LMP,Lamps,T,Tonnes,GEN,Total waste generated,2017,,3.26,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,CHE,Switzerland,A,Annual,EE_LMP,Lamps,T,Tonnes,GEN,Total waste generated,2018,,3.27,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,CHE,Switzerland,A,Annual,EE_LMP,Lamps,T,Tonnes,GEN,Total waste generated,2019,,3.26,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,CHE,Switzerland,A,Annual,EE_LMP,Lamps,T,Tonnes,GEN,Total waste generated,2020,,3.27,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,CHE,Switzerland,A,Annual,EE_LMP,Lamps,T,Tonnes,GEN,Total waste generated,2021,,3.29,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,CHE,Switzerland,A,Annual,EE_LMP,Lamps,T,Tonnes,GEN,Total waste generated,2022,,3.29,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,CHE,Switzerland,A,Annual,EE_LMP,Lamps,T,Tonnes,GEN,Total waste generated,2023,,2.68,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,CAN,Canada,A,Annual,EE_LE,Large equipment,T,Tonnes,RCY,Recycling,2010,,332.903,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,CAN,Canada,A,Annual,EE_LE,Large equipment,T,Tonnes,RCY,Recycling,2012,,333.981,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,CAN,Canada,A,Annual,EE_LE,Large equipment,T,Tonnes,RCY,Recycling,2014,,348.528,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,CAN,Canada,A,Annual,EE_LE,Large equipment,T,Tonnes,RCY,Recycling,2016,,330.82,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,CAN,Canada,A,Annual,EE_LE,Large equipment,T,Tonnes,RCY,Recycling,2018,,63.459,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,CAN,Canada,A,Annual,EE_LE,Large equipment,T,Tonnes,RCY,Recycling,2020,,63.119,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,CAN,Canada,A,Annual,EE_LE,Large equipment,T,Tonnes,RCY,Recycling,2022,,65.253,,A,Normal value,3,Thousands,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,JPN,Japan,A,Annual,EE6,Total,KG_PS,Kilogrammes per person,GEN,Total waste generated,2010,,17.84599,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,JPN,Japan,A,Annual,EE6,Total,KG_PS,Kilogrammes per person,GEN,Total waste generated,2011,,18.31798,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,JPN,Japan,A,Annual,EE6,Total,KG_PS,Kilogrammes per person,GEN,Total waste generated,2012,,18.8083,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EWASTE@DF_EWASTE(1.0),Waste - Electrical and electronic equipment (e-waste or WEEE),I,JPN,Japan,A,Annual,EE6,Total,KG_PS,Kilogrammes per person,GEN,Total waste generated,2013,,19.25897,,A,Normal value,0,Units,2,Two
